,Unnamed: 0,contract_item_cancellation_status_code,contract_item_customer_contract_life_cycle_status_code,contract_item_description,contract_item_internal_id,contract_item_product_category,contract_item_product_description,contract_item_support_end_date,contract_item_support_start_date,contract_item_validity_status_code,contract_item_concurrent_sessions,description,end_date_time,start_date_time,item_count,item_list_cancellation_status_code,item_list_customer_contract_life_cycle_status_code,item_list_validity_status_code,contract_label,customer_earliest_start,customer_latest_end,customer_label,sla,product_category,service_level_regex,otrs_version,system_type,feature_add_ons,cancellation_date,customer_country,concat_volume,concat_currency,cancellation_date_orca,end_customer_id,contract_item_logical_error,item_list_logical_error,customer_logical_error,date_logical_error,logical_error,churn
0,0,Not Canceled,In Process,OTRS GOLD,10,Contracts Managed OTRS,OTRS GOLD,2023-12-06 23:00:00,2022-12-06 23:00:00,Active,50.0,OTRS GOLD,2023-12-06 23:00:00,2022-12-06 23:00:00,1,Not Canceled,In Process,Active,active,2014-09-18 00:00:00,2023-12-06 23:59:00,active,GOLD,SaaS,Gold,7.0.48,managed,"['SaaSPortalConnector', 'OTRSCalendarResourcePlanning', 'OTRSDynamicFieldDatabase', 'OTRSSystemConfigurationHistory', 'OTRSTicketWorkflow', 'SaaSUX3Base']",,GERMANY,17495.0,Euro,,CFHbGks3,False,False,False,False,False,0
1,1,Not Canceled,In Process,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,2023-12-11 23:00:00,2022-12-11 23:00:00,Active,300.0,OTRS On-Premise PLATINUM,2023-12-11 23:00:00,2022-12-11 23:00:00,1,Not Canceled,In Process,Active,active,2017-05-01 00:00:00,2024-05-14 22:00:00,active,PLATINUM,On-Premise,Platinum,7.0.23,auto,"['GeneralCatalog', 'OTRSSystemConfigurationHistory', 'OTRSServiceCategories', 'OTRSMasterSlave', 'OTRSHideShowDynamicFields', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldCI', 'OTRSDashboardNewsWidget', 'OTRSCICustomSearch', 'OTRSCacheMemcachedFast', 'ITSMIncidentProblemManagement', 'ITSMCore', 'ITSMConfigurationManagement', 'ITSMChangeManagement', 'ImportExport', 'OTRSTicketInvoker', 'OTRSTicketWorkflow']",,SPAIN,37800.0,Euro,,laVvIOXe,False,False,False,False,False,0
2,2,Not Canceled,In Process,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-12-31 23:00:00,2022-12-31 23:00:00,Active,50.0,OTRS On-Premise GOLD,2023-12-31 23:00:00,2018-12-31 23:00:00,1,Not Canceled,In Process,Active,active,2011-04-25 00:00:00,2023-12-31 23:59:00,active,GOLD,On-Premise,Gold,7.0.22,auto,"['OTRSHideShowDynamicFields', 'OTRSEscalationSuspend', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSDynamicFieldCI', 'OTRSCustomerSpecificServices', 'OTRSCIReferences', 'OTRSCICustomSearch', 'ITSMIncidentProblemManagement', 'ITSMServiceLevelManagement', 'ITSMCore', 'ITSMConfigurationManagement', 'ImportExport', 'GeneralCatalog', 'OTRSReady2AdoptProcesses', 'OTRSCalendarResourcePlanning', 'OTRSSystemConfigurationHistory']",2017-05-16 08:38:00,GERMANY,5995.0,Euro,,Yc6VmmVi,False,False,False,False,False,0
3,3,Not Canceled,In Process,OTRS On-Premise GOLD (Testsystem),10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-12-31 23:00:00,2022-12-31 23:00:00,Active,50.0,OTRS On-Premise GOLD,2023-12-31 23:00:00,2018-12-31 23:00:00,1,Not Canceled,In Process,Active,active,2011-04-25 00:00:00,2023-12-31 23:59:00,active,GOLD,On-Premise,Gold,7.0.12,auto,"['GeneralCatalog', 'OTRSSystemConfigurationHistory', 'OTRSStatePreselectionResponseTemplates', 'OTRSServiceCategories', 'OTRSQueueResponsible', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSReady2AdoptProcesses', 'OTRSAdvancedEscalations', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'ITSMCore', 'OTRSCustomerSpecificServices', 'AkquinetTicketSearchCustomerID', 'AkquinetAdminCustomerIDGroup', 'AkquinetAssetSearch', 'AkquinetQueueView', 'AkquinetTemplateSort', 'AkquinetTicketCustomerIDPermission', 'OTRSTicketInvoker']",2017-05-16 08:38:00,GERMANY,5995.0,Euro,,Yc6VmmVi,False,False,False,False,False,0
4,4,Not Canceled,In Process,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,2023-12-31 23:00:00,2022-12-31 23:00:00,Active,10.0,OTRS On-Premise SILVER,2023-12-31 23:00:00,2018-12-31 23:00:00,1,Not Canceled,In Process,Active,active,2011-04-25 00:00:00,2023-12-31 23:59:00,active,SILVER,On-Premise,Silver,7.0.12,auto,"['OTRSAdvancedEscalations', 'AkquinetAssetSearch', 'AkquinetQueueView', 'OTRSStatePreselectionResponseTemplates', 'OTRSReady2AdoptProcesses', 'OTRSDynamicFieldWebService', 'OTRSCustomerSpecificServices', 'OTRSServiceCategories', 'ITSMServiceLevelManagement', 'ITSMIncidentProblemManagement', 'ITSMCore', 'GeneralCatalog', 'AkquinetTemplateSort', 'OTRSQueueResponsible', 'AkquinetTicketSearchCustomerID', 'AkquinetTicketCustomerIDPermission', 'AkquinetAdminCustomerIDGroup', 'OTRSDynamicFieldDatabase', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker']",2017-05-16 08:38:00,GERMANY,3995.0,Euro,,Yc6VmmVi,False,False,False,False,False,0
5,5,Not Canceled,In Process,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,2023-12-31 23:00:00,2022-12-31 23:00:00,Active,300.0,OTRS On-Premise PLATINUM,2023-12-31 23:00:00,2018-12-31 23:00:00,1,Not Canceled,In Process,Active,active,2011-04-25 00:00:00,2023-12-31 23:59:00,active,PLATINUM,On-Premise,Platinum,7.0.12,auto,"['OTRSSystemConfigurationHistory', 'OTRSStatePreselectionResponseTemplates', 'OTRSServiceCategories', 'OTRSReady2AdoptProcesses', 'OTRSDynamicFieldWebService', 'OTRSDynamicFieldDatabase', 'OTRSCustomerSpecificServices', 'OTRSAdvancedEscalations', 'ITSMCore', 'ITSMIncidentProblemManagement', 'GeneralCatalog', 'AkquinetTemplateSort', 'AkquinetQueueView', 'AkquinetAssetSearch', 'ITSMServiceLevelManagement', 'OTRSQueueResponsible', 'AkquinetAdminCustomerIDGroup', 'AkquinetTicketCustomerIDPermission', 'AkquinetTicketSearchCustomerID', 'OTRSTicketInvoker']",2017-05-16 08:38:00,GERMANY,29995.0,Euro,,Yc6VmmVi,False,False,False,False,False,0
6,6,Not Canceled,In Process,OTRS On-Premise PLATINUM,10,Contracts On-Premise OTRS,OTRS On-Premise PLATINUM,2023-12-31 23:00:00,2022-12-31 23:00:00,Active,450.0,OTRS On-Premise PLATINUM,2023-12-31 23:00:00,2022-12-31 23:00:00,1,Not Canceled,In Process,Active,active,2016-11-30 23:00:00,2024-11-30 23:00:00,active,PLATINUM,On-Premise,Platinum,5.0.27,auto,"['EurofinsCIAttributeEnhancement', 'OTRSMasterSlave', 'OTRSITSMConfigItemReference', 'OTRSHideShowDynamicFields', 'OTRSGenericInterfaceLinkMechanism', 'OTRSDynamicFieldConfigItem', 'OTRSDynamicFieldAttachment', 'OTRSCustomerUserVIP', 'Survey', 'OTRSBusiness', 'ITSMCore', 'ITSMConfigurationManagement', 'ImportExport', 'GeneralCatalog', 'FAQ', 'EurofinsTicketNotifications', 'EurofinsSurveyEnhancement', 'ITSMIncidentProblemManagement', 'SystemMonitoring']",2023-11-24 10:33:00,LUXEMBOURG,61995.0,Euro,,mqjWB4qI,False,False,False,False,False,0
7,7,Not Canceled,In Process,OTRS Business Solution™ BASIC,20,Contracts On-Premise Old,"OTRS Business Solution, BASIC",2024-01-25 23:00:00,2023-01-25 23:00:00,Active,10.0,OTRS Business Solution‚ BASIC,2024-01-25 23:00:00,2017-01-25 23:00:00,2,Not Canceled,In Process,Active,active,2011-04-07 00:00:00,2024-11-02 23:00:00,active,SILVER,On-Premise,Silver,5.0.27,auto,"['FAQ', 'GeneralCatalog', 'ITSM', 'ITSMConfigurationManagement', 'ITSMCore', 'ITSMIncidentProblemManagement', 'OTRSMasterSlave', 'Survey', 'SystemMonitoring', 'TimeAccounting', 'ImportExport', 'ITSMChangeManagement', 'ITSMServiceLevelManagement', 'OTRSBusiness', 'OTRSCustomerUserVIP']",,UNITED STATES OF AMERICA,3995.0,US-Dollar,,mOe3DnlE,False,False,False,False,False,0
8,8,Not Canceled,Completed,OTRS On-Premise GOLD,10,Contracts On-Premise OTRS,OTRS On-Premise GOLD,2023-01-25 23:00:00,2022-01-25 23:00:00,Expired,25.0,OTRS On-Premise GOLD,2024-01-25 23:00:00,2022-01-25 23:00:00,2,Not Canceled,In Process,Active,active,2022-01-25 23:00:00,2024-01-25 23:59:00,active,GOLD,On-Premise,Gold,8.0.27,auto,"['OTRSCIsInCustomerFrontend', 'OTRSConfigurationManagement', 'OTRSDynamicFieldCI', 'OTRSDynamicFieldDatabase', 'OTRSDynamicSenderAddresses', 'OTRSEscalationSuspend', 'OTRSHideShowDynamicFields', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker']",,GERMANY,14995.0,Euro,,1ybA3NXK,False,False,False,False,False,0
9,9,Not Canceled,Completed,OTRS On-Premise SILVER,10,Contracts On-Premise OTRS,OTRS On-Premise SILVER,2023-01-25 23:00:00,2022-01-25 23:00:00,Expired,10.0,OTRS On-Premise SILVER,2024-01-25 23:00:00,2022-01-25 23:00:00,2,Not Canceled,In Process,Active,active,2022-01-25 23:00:00,2024-01-25 23:59:00,active,SILVER,On-Premise,Silver,8.0.27,auto,"['OTRSCIsInCustomerFrontend', 'OTRSConfigurationManagement', 'OTRSDynamicFieldCI', 'OTRSDynamicFieldDatabase', 'OTRSDynamicSenderAddresses', 'OTRSEscalationSuspend', 'OTRSHideShowDynamicFields', 'OTRSServiceManagement', 'OTRSSystemConfigurationHistory', 'OTRSTicketInvoker']",,GERMANY,3995.0,Euro,,1ybA3NXK,False,False,False,False,False,0
